run_number,layers,heads,epochs,train_steps,context_length,embd_dim,batch_size,domain_config,domain_id,experiment_type,use_standard_dataset,debug_mode,status
1,1,1,400,100000,12,16,256,domains.ini,A,comparison,true,false,completed
2,1,1,400,100000,12,16,256,domains.ini,C,comparison,true,false,completed
3,1,1,400,100000,12,16,512,domains.ini,A,comparison,true,false,completed
4,1,1,400,100000,12,16,512,domains.ini,C,comparison,true,false,completed
5,1,1,400,100000,12,32,256,domains.ini,A,comparison,true,false,completed
6,1,1,400,100000,12,32,256,domains.ini,C,comparison,true,false,completed
7,1,1,400,100000,12,32,512,domains.ini,A,comparison,true,false,completed
8,1,1,400,100000,12,32,512,domains.ini,C,comparison,true,false,completed
9,1,1,400,100000,12,64,256,domains.ini,A,comparison,true,false,completed
10,1,1,400,100000,12,64,256,domains.ini,C,comparison,true,false,completed
11,1,1,400,100000,12,64,512,domains.ini,A,comparison,true,false,completed
12,1,1,400,100000,12,64,512,domains.ini,C,comparison,true,false,completed
13,1,1,400,100000,24,16,256,domains.ini,A,comparison,true,false,completed
14,1,1,400,100000,24,16,256,domains.ini,C,comparison,true,false,completed
15,1,1,400,100000,24,16,512,domains.ini,A,comparison,true,false,completed
16,1,1,400,100000,24,16,512,domains.ini,C,comparison,true,false,completed
17,1,1,400,100000,24,32,256,domains.ini,A,comparison,true,false,completed
18,1,1,400,100000,24,32,256,domains.ini,C,comparison,true,false,completed
19,1,1,400,100000,24,32,512,domains.ini,A,comparison,true,false,completed
20,1,1,400,100000,24,32,512,domains.ini,C,comparison,true,false,completed
21,1,1,400,100000,24,64,256,domains.ini,A,comparison,true,false,completed
22,1,1,400,100000,24,64,256,domains.ini,C,comparison,true,false,completed
23,1,1,400,100000,24,64,512,domains.ini,A,comparison,true,false,completed
24,1,1,400,100000,24,64,512,domains.ini,C,comparison,true,false,completed
25,1,1,400,100000,48,16,256,domains.ini,A,comparison,true,false,completed
26,1,1,400,100000,48,16,256,domains.ini,C,comparison,true,false,completed
27,1,1,400,100000,48,16,512,domains.ini,A,comparison,true,false,completed
28,1,1,400,100000,48,16,512,domains.ini,C,comparison,true,false,completed
29,1,1,400,100000,48,32,256,domains.ini,A,comparison,true,false,completed
30,1,1,400,100000,48,32,256,domains.ini,C,comparison,true,false,completed
31,1,1,400,100000,48,32,512,domains.ini,A,comparison,true,false,completed
32,1,1,400,100000,48,32,512,domains.ini,C,comparison,true,false,completed
33,1,1,400,100000,48,64,256,domains.ini,A,comparison,true,false,completed
34,1,1,400,100000,48,64,256,domains.ini,C,comparison,true,false,completed
35,1,1,400,100000,48,64,512,domains.ini,A,comparison,true,false,completed
